"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "JavaScript", "TOML", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\main.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\components\Login\Login.test.tsx", "TypeScript JSX", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 1, 12, 108
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\components\Login\Login.tsx", "TypeScript JSX", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 8, 101
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\components\Logout.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\components\ProtectedRoute.test.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\components\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 8, 30
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\components\SignUp\SignUp.test.tsx", "TypeScript JSX", 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 13, 137
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\components\SignUp\SignUp.tsx", "TypeScript JSX", 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 3, 7, 169
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\hooks\useLogin.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 29
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\hooks\useLogout.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\hooks\useSignUp.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\hooks\useUpdateUser.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\auth\hooks\useUser.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\components\BookList.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 7, 6, 59
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\components\BookListPage.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 12, 8, 64
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\components\BookPreview.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 18, 10, 81
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\components\MiniNav\Mininav.test.tsx", "TypeScript JSX", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 7, 59
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\components\MiniNav\Mininav.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 5, 33
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\components\Review\Review.test.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 2, 23
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\components\Review\Review.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\hooks\useAddReview.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\hooks\useCategoriseBooks.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 43
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\hooks\useDropBook.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 29
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\hooks\useMarkBookAsRead.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 27
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\hooks\useMarkBookAsReading.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 28
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\hooks\useRemoveBookFromList.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 27
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\utils\RenderStars.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksList\utils\helpers.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksSearch\components\BookDetailsPage.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 12, 5, 34
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksSearch\components\BookDetails\BookDetails.test.tsx", "TypeScript JSX", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 5, 57
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksSearch\components\BookDetails\BookDetails.tsx", "TypeScript JSX", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 15, 11, 101
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\booksSearch\hooks\useMarkBookAsToRead.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 28
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\home\components\Home\Home.test.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 6, 32
"c:\Users\Fayeo\OneDrive\Documents\GitHub\book-tracker\src\modules\home\components\Home\Home.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 7, 11, 57
